user,text,score,ID,Thumbs Up Count,date,sentiment,sentiment_description,interpreted_sentiment,sentiment_score,,,,
Ivan Jofre,Piola,5,gp:AOqpTOGXs0uaJyq8kLANvWSJaWThYFwvuIyfqadzZ2YSU7hcF4p7vjvOJqvaN9-0IkLF9hL_DxeBumdZRQ0Pyzw,0,2021-06-29 19:49,"The term ""Piola"" is a slang term in Spanish, particularly in Argentina, which generally means ""cool"" or ""good"". However, without any context or additional information, it's difficult to determine the sentiment. As a standalone word, it can be considered neutral. If used in a positive context, it could convey a positive sentiment.",Piola,positive,1,,,,
Jorge Sampayo treviño,Todo muy bien solo poner mas atencion a no omitir numero interior o de departamento,4,gp:AOqpTOGEpPN_5I5gYwsP2NXGUCk17NZqPP_4-e5X0DXzvs_0VoJK6gAPK4gfoozjzUEr1PjF5B3Yo-TsGEf6n5w,0,2021-06-29 19:45,"The sentiment of the text is generally neutral. The speaker is providing feedback or a suggestion, which is to pay more attention to not omitting the interior or department number. The phrase ""Todo muy bien"" indicates a positive aspect, but it's balanced by the constructive criticism that follows, making the overall sentiment neutral.",Todo muy bien solo poner mas atencion a no omitir numero interior o de departamento,positive,1,,,,
yee F,"Esta funcional pero deberia dejar regresar en algunas ocasiones cuando hay que escribir los precios, en oca iones por escribir rapido se introduce mal un dijito y no hay forma de arreglar",4,gp:AOqpTOEbpBwww-QvPv3xEVa0_WdnR3iLrAprvGLjz4PnzvO1CiVni68UrH5wSBN2Axt45s3epgO2393OPoC2Ri4,0,2021-06-29 19:41,"The sentiment of the text is generally negative. The author expresses dissatisfaction with a function, specifically the inability to go back and correct a mistake when entering prices. The use of words like ""deberia"" (should) and ""no hay forma de arreglar"" (there's no way to fix it) indicate a sense of frustration or dissatisfaction.","Esta funcional pero deberia dejar regresar en algunas ocasiones cuando hay que escribir los precios, en oca iones por escribir rapido se introduce mal un dijito y no hay forma de arreglar",neutral,0,,,,
Monse Ledezma,Excelente,5,gp:AOqpTOGGC-ouHXdfIwRIb8Qpe5V4Vmxr80wcz1WdAFPZ1zhJyh8qlY8VQH8vcFWN1kLxymaZk4Tl-yTYPFl-6MQ,0,2021-06-29 19:39,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is a positive sentiment.",Excelente,positive,1,,,,
Jarving Gil,Es increible que estes realizando 2 ordenes y aun no entregas la primera cuando la segunda orden te esta montando presion para acercarte a la tienda. aparte de que no haz entregado la primera el segundo te lo liberan y te quitan la racha fallas del sistema que paga los RT son unos #$%@#$#@@##!!¡#@@#$#¿?!@@# No sirven,5,gp:AOqpTOEldozKrbNscHl0I04iTMg8XotZUfAgnZN5_XuB9GRsyi7UD0SQMXNhLgxXa-GG_9iRlHRgkF7rs49ny5c,1,2021-06-29 19:36,"The sentiment of the text is negative. The author expresses frustration and dissatisfaction with a situation involving the handling of orders. The use of strong language and expletives further emphasizes the negative sentiment. The author criticizes the system and its failures, indicating a high level of dissatisfaction.",Es increible que estes realizando 2 ordenes y aun no entregas la primera cuando la segunda orden te esta montando presion para acercarte a la tienda. aparte de que no haz entregado la primera el segundo te lo liberan y te quitan la racha fallas del sistema que paga los RT son unos #$%@#$#@@##!!¡#@@#$#¿?!@@# No sirven,negative,-1,,,,
Gerardo Díaz,Dice que estoy piorisado y no me arroja pedidos,1,gp:AOqpTOHYIFDuQGtppU-Yehx0RQIZDQ-Ah7s-kFnytYnLWI1miLLGHUy4kCtXxbt2iMapkYi4kCMxBWmZ35QGMBk,0,2021-06-29 19:35,"The sentiment of the text is negative. The speaker is expressing dissatisfaction or frustration because they are being told they are ""prioritized"" but are not receiving orders. The negative sentiment is conveyed through the use of words like ""piorisado"" (a misspelling of ""priorizado"", which means ""prioritized"") and ""no me arroja pedidos"" (which means ""it does not give me orders""), indicating a situation that is not meeting the speaker's expectations.",Dice que estoy piorisado y no me arroja pedidos,negative,-1,,,,
Pedro Urbina,Pesima trabajen con otra app,1,gp:AOqpTOHJdoMNNjapgSr_LjGA_ZncS8ahuBkPNo1K2_VJfZY23ia4aks_Uz2ZVFJKDEdvtVu_yBaApH7vux8Enik,0,2021-06-29 19:34,"The sentiment of the text is negative. The Spanish phrase ""Pesima trabajen con otra app"" translates to ""Terrible, work with another app"". This suggests dissatisfaction or a negative experience with the current app, and the speaker is advising others to use a different one.",Pesima trabajen con otra app,negative,-1,,,,
reboltozoid 777,Muy mala...toman mas en cuenta una calificacion de 1 ⭐que diez de 5...,2,gp:AOqpTOG3cTzrQ0038CXFTQp0yfyJ_m2gZSABy70kDPoJgstTUb_jqh1jQ1JpPnqz_Maef0uxP5Raeheka_lGAqw,0,2021-06-29 19:31,"The sentiment of the text is negative. The text is in Spanish and translates to ""Very bad... they take into account a 1-star rating more than ten 5-star ones..."" The use of the phrase ""Muy mala"" (Very bad) and the complaint about the unfair consideration of ratings indicate dissatisfaction and negative sentiment.",Muy mala...toman mas en cuenta una calificacion de 1 ⭐que diez de 5...,negative,-1,,,,
Frank Lira,La mejor muy buena,5,gp:AOqpTOFwiPrsKIlOKeN705V35ofJDe__M4qM6U_u_aSBzeG9LmkiXYvxNGOB9jUTdoNEV0w3OX3bzv2A58GR_Pk,0,2021-06-29 19:30,"The sentiment of the text is positive. The text is in Spanish and translates to ""The best, very good."" This phrase indicates a high level of satisfaction or approval, which is a positive sentiment.",La mejor muy buena,positive,1,,,,
SILVESTRE ROJAS,Los pedidos los pagan muy barato mientras que todo va en aumento,1,gp:AOqpTOGE5DwoH78hMu3YAO-EFwcEhz80sBLEogINJdVUs5WBS76FFK-4XHKzozqYShwZz88rg9fg7DO7jGb1AJ4,0,2021-06-29 19:25,"The sentiment of the text is negative. The text is in Spanish and translates to ""Orders are paid very cheaply while everything is increasing."" The sentiment is negative because the speaker is expressing dissatisfaction or frustration about the low payment for orders in the context of everything else becoming more expensive.",Los pedidos los pagan muy barato mientras que todo va en aumento,negative,-1,,,,
